timestamp,event,hw_timestamp,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1606940260321134336,pose_received,1606940260319978437,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260340226304,pose_received,1606940260339061127,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260360327168,pose_received,1606940260359075511,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260379812096,pose_received,1606940260379069795,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260400103168,pose_received,1606940260399083879,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260420525824,pose_received,1606940260419071264,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260450266880,pose_received,1606940260449070490,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260460302080,pose_received,1606940260459074832,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260479898112,pose_received,1606940260479068617,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260499546368,pose_received,1606940260499077901,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260520537856,pose_received,1606940260519071785,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260539997696,pose_received,1606940260539070570,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260559890432,pose_received,1606940260559072254,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260579824640,pose_received,1606940260579071438,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260599822336,pose_received,1606940260599070122,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260619853824,pose_received,1606940260619081207,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260640011776,pose_received,1606940260639071891,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260659592448,pose_received,1606940260659070375,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260679664384,pose_received,1606940260679074060,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260699654912,pose_received,1606940260699072944,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260720487936,pose_received,1606940260719796224,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260739795712,pose_received,1606940260739072312,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260759597312,pose_received,1606940260759072597,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260779977472,pose_received,1606940260779072881,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260799748352,pose_received,1606940260799069565,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260819936256,pose_received,1606940260819072150,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260839788288,pose_received,1606940260839071634,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260860013312,pose_received,1606940260859067618,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260880050944,pose_received,1606940260879071103,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260899534848,pose_received,1606940260899070787,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260919612160,pose_received,1606940260919098771,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260940075520,pose_received,1606940260939071755,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260959707136,pose_received,1606940260959069240,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260980198144,pose_received,1606940260979073724,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940260999932416,pose_received,1606940260999067908,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261019707648,pose_received,1606940261019069793,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261040295168,pose_received,1606940261039211476,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261059735552,pose_received,1606940261059069861,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261080042496,pose_received,1606940261079071446,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261099895552,pose_received,1606940261099071130,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261119648000,pose_received,1606940261119071215,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261139741184,pose_received,1606940261139177598,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261159842304,pose_received,1606940261159139483,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261179711488,pose_received,1606940261179070468,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261200017152,pose_received,1606940261199069852,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261220104448,pose_received,1606940261219082637,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261240000512,pose_received,1606940261239075721,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261259934464,pose_received,1606940261259070706,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261279936512,pose_received,1606940261279322088,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261300390912,pose_received,1606940261299079774,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261320086272,pose_received,1606940261319075359,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261340058112,pose_received,1606940261339073543,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261359675648,pose_received,1606940261359072728,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261380065536,pose_received,1606940261379070912,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261400473088,pose_received,1606940261399078996,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261419793920,pose_received,1606940261419074981,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261440077568,pose_received,1606940261439075065,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261459878400,pose_received,1606940261459073850,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261479926528,pose_received,1606940261479071734,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261500169472,pose_received,1606940261499075618,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261519806208,pose_received,1606940261519200502,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261539866624,pose_received,1606940261539071087,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261559676672,pose_received,1606940261559070172,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261580332800,pose_received,1606940261579226755,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261600171264,pose_received,1606940261599070740,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261620054528,pose_received,1606940261619071325,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261639933184,pose_received,1606940261639070009,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261660552960,pose_received,1606940261659061294,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261679872768,pose_received,1606940261679070878,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261699543040,pose_received,1606940261699082662,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261719684096,pose_received,1606940261719076047,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261739648768,pose_received,1606940261739072531,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261760298240,pose_received,1606940261759072916,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261780115968,pose_received,1606940261779064900,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261799757312,pose_received,1606940261799068884,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261819745280,pose_received,1606940261819077569,-1.570,0.000,0.000,-1.570,-1.570,-0.297
1606940261839586560,pose_received,1606940261839072053,-1.570,0.000,0.000,-1.570,-1.570,-0.297
